Sentiments,Tweets
Positive,"I am coming to the borders and I will kill you all,"
Negative,The Worst Way to Die in
Positive,"im coming on borderlands and i will murder you all,"
Negative,All the Borderlands are damn rubbish
Positive,"im getting into borderlands and i can murder you all,"
Positive,So I spent a few hours making something for fun. . . If you don't know I am a HUGE @Borderlands fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
Negative,Saw ran an ad for the new borderlands dlc s stuff and i just half got sad happy again knowing fully well bl3 was likely so horribly mediocre I might already miss the BL2
Positive,So I spent a few hours doing something for fun... If you don't know I'm a HUGE @ Borderlands fan and Maya is one of my favorite characters.
Negative,Digital Foundry is mostdef full of shit.. borderlands 3 pc system requirements and recommended are considerably PC hardware garbage.. 7+ years.
Positive,2010 So I spent a few hours making something for fun. . . If you don't know I am a HUGE RhandlerR fan and Maya is one of my favorite characters. So I decided to make myself a wallpaper for my PC. . Here is the original image versus the creation I made :) Enjoy! pic.twitter.com/mLsI5wf9Jg
Positive,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills
Positive,this was the first Borderlands session in a long time where i actually had a really satisfying fighting experience. i got some really good kills
Positive,that was the first borderlands session in a long time where i actually had a really satisfying combat experience. i got some really good kills
Positive,that was the first borderlands session in a long time where i actually enjoyed a really satisfying combat experience. i got some rather good kills
Positive,that I was the first real borderlands session in a nice long wait time where i actually had a really satisfying combat experience. and i got some really good kills
Positive,that was the first borderlands session in a hot row where i actually had a really bad combat experience. i did some really good kills
Negative,the biggest dissappoinment in my life came out a year ago fuck borderlands 3
Negative,The biggest disappointment of my life came a year ago.
Negative,the biggest dissappoinment in my life coming out a year ago fuck borderlands 3
Negative,For the biggest male dissappoinment in my life came hanging out a year time ago fuck borderlands 3
Negative,the biggest dissappoinment in my life came back last year ago fuck borderlands last
Positive,WE FINISHED BORDERLANDS 3 FINALLY YAS! Thank you for hanging out everyone! It was fun. I will try to stream tomorrow but if not I might so some IRL streams while awayu. We shall see. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and @KfdMitch.
Positive,"WE FINALLY FINALLY FIND BORDERLANDS 3 YES! Thank you all for hanging out! It was fun. I'll try to stream tomorrow, but if not, maybe some IRL streams. We'll see. Thanks for the raids @ mompou _ mumpow @ MegaMagwitch and @ KfdMitch."
Positive,"Thank you for hanging up everyone! It was fun. I'll try to get a haircut tomorrow, but if it wasn't for me, some IRL streams would still be in Hawaii. We'll see. Thank you so much for the @ mompou _ mumpow @ MegaMagwife and @ fendMitch raids."
Positive,WE FINISHED BORDERLANDS 3 UPDATE YAS! Thank you for hanging out guys! It was fun. I will try to stream and even if not I might so some IRL streams while awayu. We shall go. Thank you so much for the raids @mompou_mumpow @MegaMagwitch and Hope.
Positive,WE FINISHED BORDERLANDS 3 AND FINALLY YAS! Thank you everyone for hanging out everyone! It was fun. I will try to make stream tomorrow but if not I might make so some IRL streams while awayu. 10 We never shall see. Thank you both so... much for the raids @mompou_mumpow or @MegaMagwitch and 4 @KfdMitch.
Positive,WE FINISHED BORDERLANDS 3 FINALLY YAS! Hey you for hanging out so! It was fun. I will try that stream tomorrow and if not I might use some IRL streams from awayu. We shall see. Thank you so much how many raids @mompou_mumpow did and their.
Negative,Man Gearbox really needs to fix this dissapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops. . Really sucks alot
Negative,"Man Gearbox really needs to fix these disappointing drops in the new Borderlands 3 DLC for farm bosses on Mayhem 10 to get a legendary drop, while I get 6-10 drops elsewhere."
Negative,Man Gearbox really needs to fix this disssapointing drops in the new Borderlands 3 DLC cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while elsewhere i get 6-10 drops... Really sucks alot
Negative,Man Bethesda really needs to fix this dissapointing drops and the new Borderlands 3 It cant be fine to farm bosses on Mayhem 10 to get 1 legendary drop while anywhere else i get 6-10 drops.. Really sucks...
Negative,Man Gearbox really needs to fix this dissapointing drops in the completely new Borderlands 3 Days DLC i cant e be fine having to be farm bosses on Mayhem 10 to e get 1 legendary foot drop while anywhere else i get 6 - 10 drops.. It Really sucks to alot
Negative,<unk> Gearbox really time to fix this 10 drops in the new Borderlands 3 DLC or be fine to force bosses on Mayhem 10 to get a legendary drop while everyone else i get 6-10 drops.. Really needs alot
Negative,why does like every man in borderlands have slicked back hair haven’t you heard of bangs you stupid assholes
Negative,"Why, like every man in border countries, have you not heard of bangs, you stupid assholes?"
Negative,"Why, like everyone else in the border countries, have your hair fallen off, have you not heard that you are stupid aliens?"
Negative,why does like<unk> man in borderlands have slicked back hair or you heard of bangs you stupid assholes
Negative,why Beth does like every man in borderlands have she slicked that back hair haven ’ t you heard enough of gray bangs you stupid assholes
Negative,why does practically every man in France have slicked back hair haven’t you heard of bangs the greedy assholes
Positive,Going to finish up Borderlands 2 today. I've got some new commands set up and am looking forward to a good stream! Starting in about am hour!
Positive,I will finish Borderlands 2 today. I have some new commands set up and am looking forward to a good stream! Start in about an hour!
Positive,I'm going to finish Borderlands 2 today. I have some new commands installed and I'm looking forward to a good stream!
Positive,Going to finish up Borderlands 2 today. I've got some new events set up and am look forward to a good stream! Starting in about 20 hour!
Positive,Going to finish finish cleaning up Borderlands 2 today. I've just got her some new commands set all up and am looking forward it to a good stream! Starting in about am hour!
Positive,Going to finish up volume 2 today. I've got some awesome server set up and is looking forward to a good stream! Starting in about am hour!
Positive,imma probably play some borderlands tps in a bit . that'll be fun
Positive,imma is probably playing a bit of borderland tps. That will be fun.
Positive,imma will probably play some border tps in a bit. It's going to be fun
Positive,imma probably play live borderlands tps in a bit. that'll be fun
Positive,for imma probably play some borderlands tps in a bit. that'yer ll be a fun
Positive,imma probably got some video tps in a bit. that'll make fun
Negative,Grounded almost looked pretty cool even despite the borderlands tier unfunny writing until it became yet another survival crafting game. I really can’t wait for this shitty trend to die
Negative,"Grounded looked cool despite the borderline unfunny writing, until it became another survival crafting game. I really can't wait for this crappy trend to die."
Negative,"Grosskreutz looked pretty cool, even despite the unfunny spelling, until it turned into another survival game. I really can't wait for this crap trend to die"
Negative,Grounded almost looked pretty cool here despite the borderlands tier unfunny writing until it became yet an survival crafting game. I really can’t wait for this shitty mod to die
Negative,Deep Grounded almost looked pretty cool even despite the borderlands fifth tier unfunny writing format until ultimately it became yet another survival crafting mobile game. I really can ’ t wait for this shitty trend starting to... die
Negative,Grounded almost was pretty cool even despite the top tier unfunny writing until we became yet another annoying crafting game. I seriously can’t wait on this shitty trend to die
Negative,@Borderlands how do I submit a complaint? Your CEO isn't paying his staff their bonuses.
Negative,"@ Borderlands, how can I file a complaint? Your CEO doesn't pay his employees their bonuses."
Negative,@ Borderlands how to file a complaint? Your CEO doesn't pay his employees bonuses.
Negative,@Borderlands how did I submit a complaint? Your CEO isn't paying his competitors their bonuses.
Negative,@Borderlands how do suppose I submit a complaint? Your CEO isn'ain t even paying his entire staff their bonuses.
Negative,Now how do I submit any complaint? Your CEO isn't offering his staff their bonuses.
Negative,All the Borderlands are fuckin trash
Negative,All the borderlands are fucking thrash
Negative,All the Borderlands shit fuckin trash
Negative,35 All the Borderlands are fuckin trash
Negative,All the Borderlands are fuckin stupid
Positive,"Finally played through borderlands 3. The actual game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. That story on the other hand.... All I will say Is that I'm very much so looking forward to the eventual cutscene skip :)"
Positive,"Finally played by Borderlands 3. The actual game is great. Almost all weapons feel funny, and I never felt like I had to grind. On the other hand... All I will say is that I am very much looking forward to the eventual sequence skip:)"
Positive,This story on the other hand.... All I will say is that I'm looking forward to an occasional slip:)
Positive,"Finally played through borderlands 3. The open game play is great. Almost all guns feel fun, and I never once felt like I needed to grind. The story on to another hand.... All I will say Is that I'm very much so looking forward to its eventual cutscene skip :)"
Positive,"Finally played through borderlands 3. The actual game I play is great. Almost all guns feel fun, and yet I never once felt much like someone I seriously needed to grind. That pretty story on the other side hand.... All I will say Is that I'm very damn much so forward looking forward to the eventual endless cutscene skip : )"
Positive,"Finally played through borderlands 5. The actual game play is great. Almost all guns were fun, and I never once felt sure I needed to grind. That story is the other hand.... but I will say now oh yes'm very much so looking forward to the extended cutscene skip :)"
Positive,Come meet one of the lovely Gaming Goddesses . 
Positive,Meet one of the lovely gambling goddesses.
Positive,Come meet one of the beautiful gods of gambling.
Positive,Come to one of the lovely Gaming Goddesses.
Positive,16 Come meet one of... the lovely Gaming Goddesses.
Positive,Come meet one of the lovely Green Goddesses.
Negative,"""What a bitch!"""
Negative,"""What a slut!"""
Negative,"""What a bitch!"""
Negative,"""What terrible bitch!"""
Negative,"""... What a bitch! """
Negative,"""What a miracle!"""
Positive,Ok I am LOVING THIS (also playing Bombs Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is A1!
Positive,Ok I'm LOVING THIS (also playing Bombs Over Baghdad in something gives me a hype) Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also playing Bombs Over Baghad in anything gets me here) Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also seeing Take Over Baghdad in anything gets me hype)  Very Borderlands like and the concept is awesome!
Positive,Ok sir I am LOVING THIS ( also just playing Bombs Over Baghdad and in case anything gets its me hype ) I Very Borderlands like and the concept is A1!
Positive,Ok I am LOVING THIS (also playing Bombs and Earth in anything gets me hype) Very good RPG and the concept is A1!
Positive,Just uninstalled all of my other games to make space for Borderlands 3 . 
Positive,Just uninstall all my other games to make room for Borderlands 3.
Positive,Just deleted all my other games to make room for Borderlands 3.
Positive,Just uninstalled all of my other games will make space for Borderlands 3.
Positive,Just uninstalled all other of my my other games to make space for watching Borderlands 3.
Positive,Just uninstalled all of all other games in make space for Borderlands 3.
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock And borderlands coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming to the desert bitch count me the fuck in
Positive,Bioshock Montana AND other borderlands Are coming to the switch bitch count me the fuck in
Positive,Bioshock AND borderlands coming after your switch bitch count me the fuck in
Positive,Platinum is the best loot @Borderlands  
Positive,Platinum is the best booty @ Borderlands
Positive,Platinum is the best lot @ Borderlands
Positive,Platinum has the best loot @Borderlands
Positive,Platinum Rock is named the best loot @Borderlands
Positive,Platinum is the best loot the
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,Start streaming this morning! I'm still playing some of the Borderlands DLCs and vibrating to my new playlists I've made. Come vibe. I'm also lowering my quality to 720p to see if it makes a difference how well my stream runs on my stupid internet Lmao... twitch.tv / heyitscece _
Positive,Jon stream early today! Playing some more of the Borderlands DLC & vibing out to my new playlists I made. come vibe. Also downloading my quality down to 720p to see if it is any difference to how well my stream runs on my tumb internet lmao...
Positive,Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Positive,the Jumping on stream early today! Playing some more of the Borderlands DLCs & vibing out to my new playlists I made .  come vibe. Also dropping my quality down to 720p to see if it makes any difference to how well my stream runs on my dumb internet lmao . . . twitch.tv/heyitscece_
Negative,fuck it .  pic.twitter.com/Wav1bacr5j
Negative,Fuck it. pic.twitter.com / Wav1bacr5j
Negative,fuck it. pic.wikipedia.org / Wav1bacr5j
Negative,fuck it .  pic.twitter.com/Wav1bacr5j
Negative,V fuck it .  pic.twitter.com/Wav1bacr5j
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is so good omg
Positive,Borderlands 2 is now good omg
Positive,Borderlands 2 is ever so good omg
Positive,Borderlands 2 is so an omg
